,Europe,ENA
aw_clim_dissim,1,0.999987571823743
aw_disp_mean,1,0.555403345600811
aw_disp_variance,0.999999881218545,0.540041909921038
aw_divergence,0.680155266761993,0.809492812880199
aw_clim_dissim_disp_mean,0.99999999999999,0.156263115668675
aw_clim_dissim_disp_var,0.934223936889837,0.153471748647859
aw_clim_dissim_divergence,0.226181067786059,0.255003874202787
aw_disp_mean_disp_var,0.623996347798156,0.158790729736566
aw_disp_mean_divergence,0.2002178881881,0.159718351719363
aw_disp_var_divergence,0.277008468021712,0.13671744182788
